Item Name,Is Returnable Item,Brand,Manufacturer,Description,Rate,Package Weight,Package Length,Package Height,Package Width,Dimension Unit,Weight Unit,Is Combo Product,Vendor,Purchase Rate
"22"" ZNC Pick & Place Station",false,ZNC,,,USD 2900.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"22"" Pick & Place -- 24 SKU",false,,,"'- 22"" all-in-one tablet
- 1 RFID reader w/ 24 featured products
- Misc. electronic components",USD 1625.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Built in Lift + Learn,false,,,,USD 3800.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"22"" Lift + Learn -- 16 SKU",false,,,"'- 22"" all-in-one tablet
- 16 NFC readers / featured products
- Misc. electronic components",USD 2650.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"27"" Pick & Place -- 18 SKU",false,,,"'- 27"" all-in-one tablet
- 1 RFID reader w/ 18 featured products
- Misc. electronic components",USD 1875.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Refurbished NUC Computer,false,,,,USD 250.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"Quick Checkout Station -- 15.6"" (w/o product interaction)",false,,,,USD 565.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Maintenance,false,,,,USD 120.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Installation,false,,,,USD 1400.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Service -- Installation,false,,,,USD 2000.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"15.6"" Quick Checkout Station (w/o product interaction)",false,,,,USD 600.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"22"" PLANAR Lift + Learn -- 16 SKU",false,,,,USD 2286.67,0.00,0.00,0.00,0.00,,,false,,USD 0.00
mC-Print3 Receipt Printer,false,Star Micronics,,,USD 510.00,7.00,10.00,13.00,8.00,in,lb,false,,USD 333.38
Component -- NFC Tag 50mm,false,GoToTags,GoToTags,,USD 3.10,0.10,5.00,0.01,5.00,in,lb,false,,USD 1.09
"22"" ELO Touch Screen Portable Monitor",false,,,,USD 630.00,10.00,1.63,19.87,11.91,in,lb,false,,USD 450.00
"TW-Quick Checkout Station -- 22"" (w/o product interaction)",false,,,"22"" quick checkout station w/out product interaction.  Customer may choose to purchase furniture housing for screen separately.",USD 760.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 489.88
"Generic 50"" TV Monitor",false,,,,USD 825.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 550.00
"50"" Menu Board",false,,,,USD 1110.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 730.00
"Interactive Station -- 43"" (w/o product interaction)",false,,,,USD 1225.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 873.66
"Generic 43"" TV Monitor",false,,,,USD 675.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 450.00
"Generic 43"" Touchscreen Monitor",false,,,,USD 1425.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 950.00
"Generic 50"" Touchscreen Monitor",false,,,,USD 2800.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 2000.00
"Interactive Station -- 50"" (w/o product interaction)",false,,,,USD 1625.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1135.66
INSERT - counter product landing pad,true,,,,USD 170.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 120.00
INSERT - counter flower shelf,false,,,,USD 295.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 210.00
Service - Custom Development,false,,,,USD 150.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 35.00
Monitor Stand (MOUNTUP),true,,,,USD 40.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 27.99
Trade show demo unit,true,,,,USD 955.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 682.62
Desktop product riser display,true,,,,USD 45.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 32.00
Refurbished -- NFC reader,false,,,,USD 47.25,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Refurbished -- USB Hub (10 Port),false,,,,USD 46.20,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"Estone -- 55"" Tablet",true,Estone,Estone,,USD 2700.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 1930.00
"E - 43"" Pick & Place -- 24 SKU",true,,,"'- 43"" all-in-one tablet
- 1 NFC reader w/ 24 featured products
- Misc. electronic components",USD 2500.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1731.54
"TouchWo - 27"" Touch Screen",false,,,,USD 655.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 435.00
"TouchWo - 21"" Touch Screen",false,,,,USD 375.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 245.00
"NH - 22"" Lift + Learn - 16 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 16 featured products
- Misc. electronic components",USD 1785.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1192.82
"NH - 27"" Pick & Place -- 24 SKU",false,,,"'- 27"" display
- 1 NFC reader w/ 24 featured products
- Misc. electronic components",USD 1125.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 716.54
VESA mount,false,,,,USD 56.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 40.00
Component -- HDMI extender,false,,,,USD 20.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 10.00
"Quick Checkout Station -- 27"" (w/o product interaction)",false,,,"27"" quick checkout station w/out product interaction.  Customer may choose to purchase furniture housing for screen separately.",USD 1040.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 679.88
"RF Estone -- 21.5"" Tablet",false,,,,USD 500.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 275.00
Test Product - $0,false,,,Test Product Description,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
INSERT - Landing Pad (MDF) - QTY 1,true,,,,USD 155.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 112.00
INSERT - Landing Pad (MDF) - QTY 2+,true,,,,USD 135.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 99.00
INSERT - Landing Pad (Painted MDF) - QTY 1,false,,,,USD 190.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 138.00
INSERT - Landing Pad (Painted MDF) - QTY 2+,false,,,,USD 175.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 125.00
INSERT - Landing Pad (Oak Finish) - QTY 1,false,,,,USD 210.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 151.00
INSERT - Landing Pad (Oak Finish) - QTY 2+,false,,,,USD 190.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 138.00
INSERT - Landing Pad (Walnut Finish) - QTY 1,false,,,,USD 210.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 151.00
INSERT - Landing Pad (Walnut Finish) - QTY 2+,false,,,,USD 190.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 138.00
INSERT - Landing Pad (Laminate) - QTY 1,false,,,,USD 175.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 125.00
INSERT - Landing Pad (Laminate) - QTY 2+,false,,,,USD 155.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 112.00
INSERT - 8 Product Floating Shelf (MDF) - QTY 1,false,,,,USD 545.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 392.00
INSERT - 8 Product Floating Shelf (MDF) - QTY 2+,false,,,,USD 685.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 490.00
INSERT - 8 Product Floating Shelf (Painted MDF) - QTY 1,false,,,,USD 730.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 522.00
INSERT - 8 Product Floating Shelf (Painted MDF) - QTY 2+,false,,,,USD 500.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 360.00
INSERT - 8 Product Floating Shelf (Oak Finish) - QTY 2+,false,,,,USD 685.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 490.00
INSERT - 8 Product Floating Shelf (Oak Finish) - QTY 1,false,,,,USD 730.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 522.00
INSERT - 8 Product Floating Shelf (Walnut Finish) - QTY 1,false,,,,USD 730.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 522.00
